Year	acorns	burn	EQSOI	density
1988	9.998607491980469	0.5562692443119245	0.7583333333333333	0.3865497050381565
1989	2.6772915882814927	0.39929467291048826	-0.05833333333333333	0.43828987823522264
1990	7.941376414313231	0.39208479631517357	-0.375	0.30657423673669165
1991	5.764571439896333	0.5071912166982443	-1.0083333333333333	0.34378068431252023
1992	6.981580968761123	0.6224883794828592	-0.39166666666666666	0.257181306460806
1993	9.813963740047685	0.6093831246985697	-0.3333333333333333	0.30018434158502233
1994	3.543398651963531	0.3040113066264029	0.05833333333333334	0.3412920101274586
1995	9.077135778740644	0.264233074707424	0.5833333333333334	0.2789629895108507
1996	8.871315198960396	0.31431381502687133	-0.43333333333333335	0.4046358127527404
1997	3.926081229761497	0.41742397904512446	-1	0.4999004467739983
1998	9.132199077188917	0.3216760386842158	1.2583333333333333	0.3067767014038675
1999	2.834689745946875	0.36533839472679824	1.2583333333333333	0.4066240144623627
2000	6.6473059475913905	0.3394491652141023	0.5166666666666666	0.37412537189946105
2001	2.080336781693429	0.23557932645453966	-0.11666666666666667	0.35067486352326677
2002	1.9469777700285824	0.29450191550883636	-0.4166666666666667	0.3941778167333355
2003	4.4632468274267	0.5852351317240975	-4.625929269271485e-18	0.3133340378303548
2004	4.994125553740626	0.4939800051788795	0.024999999999999984	0.41146488974956785
2005	7.316176277089963	0.5396158267394168	0.2	0.39113387829515517
2006	1.920026962050755	0.5800485712095546	0.41666666666666663	0.4461169245240233
2007	3.799397212631819	0.5893269266019457	1.175	0.39696675811632404
2008	4.677726796622371	0.5558310504012489	0.2833333333333333	0.4322700067377018
2009	2.225647731739415	0.44851398255037067	0.3666666666666667	0.333163018242189
2010	4.93591280376705	0.15368008828414045	1.4583333333333333	0.35238764384640986
2011	3.5035809800255557	0.2153557867744958	0.65	0.46945196782763593
2012	6.0952910149680815	0.33025765506401566	0.43333333333333335	0.2928127230419723
2013	4.276325749978409	0.30557352154375	0.23333333333333334	0.35881258144092115
2014	4.465456052400857	0.30963612328671813	-1.0333333333333334	0.3549649337800228
2015	5.415394660748726	0.3728935857373271	-1.1416666666666666	0.35748356371403556
2016	7.093957385910757	0.4289164849258198	0.3333333333333333	0.38813804726211343
2017	3.650920288309152	0.5112836135506631	0.2833333333333333	0.347461741354191
2018	3.141996573533835	0.45533992765800857	-0.3083333333333333	0.2631921084212333
2019	1.0670006272307648	0.4094606419867972	0.2916666666666667	0.40263660964770726
2020	2.0947816469351865	0.4083136958760212	0.775	0.3393503247027508
2021	3.6191657918522178	0.33711359146447956	1.05	0.36047954063768994
